City,Cloudiness,Country,Humidity,Lat,Lng,Max Temperature,Wind Speed,Date
Salalah,0,OM,57,17.01,54.1,24.0,2.1,"Apr, 04 2019"
Escarcega,88,MX,54,18.61,-90.75,29.85,2.66,"Apr, 04 2019"
Parkes,64,AU,30,-33.14,148.18,27.78,0.45,"Apr, 04 2019"
Kondopoga,0,RU,85,62.21,34.27,-6.0,4.21,"Apr, 04 2019"
Panalingaan,12,PH,90,8.78,117.42,26.85,1.31,"Apr, 04 2019"
Homer,1,US,25,59.64,-151.54,11.0,6.2,"Apr, 04 2019"
Fairbanks,1,US,32,64.84,-147.72,-3.0,9.3,"Apr, 04 2019"
Esperance,20,TT,83,10.24,-61.45,25.0,4.1,"Apr, 04 2019"
Pierre,90,US,93,44.37,-100.35,5.56,5.7,"Apr, 04 2019"
Pathein,0,MM,91,16.78,94.73,23.45,2.51,"Apr, 04 2019"
Plouzane,92,FR,80,48.38,-4.62,5.0,3.1,"Apr, 04 2019"
Mulchen,92,CL,96,-37.72,-72.23,12.45,4.81,"Apr, 04 2019"
Gamba,12,CN,53,28.28,88.52,-19.25,2.06,"Apr, 04 2019"
Saint-Augustin,24,FR,93,44.83,-0.61,6.0,2.1,"Apr, 04 2019"
Olden,0,NO,89,61.84,6.81,1.11,1.79,"Apr, 04 2019"
Pitimbu,75,BR,94,-7.47,-34.81,26.0,2.6,"Apr, 04 2019"
Yegorlykskaya,8,RU,90,46.56,40.65,0.4,3.76,"Apr, 04 2019"
Camacupa,8,AO,67,-12.02,17.48,15.45,2.06,"Apr, 04 2019"
Tual,64,ID,100,-5.67,132.75,26.6,6.91,"Apr, 04 2019"
Chitral,92,PK,87,35.85,71.79,-5.45,0.31,"Apr, 04 2019"
Umm Lajj,0,SA,98,25.02,37.27,16.4,4.06,"Apr, 04 2019"
Urengoy,76,RU,89,65.96,78.37,-6.95,4.11,"Apr, 04 2019"
Luang Prabang,90,LA,78,19.89,102.14,22.0,3.1,"Apr, 04 2019"
Kungurtug,20,RU,82,50.6,97.53,-7.05,0.41,"Apr, 04 2019"
Balkanabat,24,TM,83,39.51,54.36,6.1,2.21,"Apr, 04 2019"
Ixtapa,5,MX,83,20.71,-105.21,25.0,4.6,"Apr, 04 2019"
San Jeronimo,92,PE,89,-13.65,-73.37,8.75,0.86,"Apr, 04 2019"
Tonstad,75,NO,66,58.66,6.71,9.0,4.1,"Apr, 04 2019"
Arroyo,1,US,33,41.39,-78.88,8.0,4.1,"Apr, 04 2019"
Oksfjord,90,NO,100,70.24,22.35,0.0,3.6,"Apr, 04 2019"
Karaj,40,IR,45,35.81,51.01,9.0,3.1,"Apr, 04 2019"
Mwense,76,ZM,92,-10.39,28.7,19.6,1.31,"Apr, 04 2019"
Bonthe,92,SL,86,7.53,-12.5,26.7,2.41,"Apr, 04 2019"
Yarada,0,IN,94,17.65,83.27,25.0,1.0,"Apr, 04 2019"
Vilnius,0,LT,47,54.69,25.28,3.33,3.6,"Apr, 04 2019"
Naryan-Mar,44,RU,80,67.67,53.09,-4.9,5.46,"Apr, 04 2019"
Rio Cuarto,0,AR,77,-33.13,-64.35,21.0,3.6,"Apr, 04 2019"
El Vigia,20,MX,28,26.85,-109.72,27.0,2.6,"Apr, 04 2019"
Liku,48,ID,93,-0.73,119.89,26.55,1.41,"Apr, 04 2019"
Guilin,90,CN,100,25.28,110.29,13.0,1.66,"Apr, 04 2019"
Faya,0,SA,82,18.39,42.45,15.0,5.1,"Apr, 04 2019"
Ardatov,56,RU,67,55.24,43.1,-2.05,5.36,"Apr, 04 2019"
Nilopolis,40,BR,78,-22.81,-43.41,26.11,2.11,"Apr, 04 2019"
Morgan City,1,US,77,29.7,-91.21,19.0,3.1,"Apr, 04 2019"
Jennings,0,AU,67,-28.93,151.93,17.78,3.58,"Apr, 04 2019"
Turayf,20,SA,76,31.68,38.65,11.0,2.1,"Apr, 04 2019"
Ponta Delgada,40,PT,76,37.73,-25.67,13.0,5.1,"Apr, 04 2019"
Taoudenni,76,ML,67,22.68,-3.98,22.45,2.11,"Apr, 04 2019"
Avera,1,US,58,33.19,-82.53,18.0,1.81,"Apr, 04 2019"
Moba,20,CD,99,-7.04,29.77,19.95,1.26,"Apr, 04 2019"
Udachnyy,0,RU,74,66.42,112.4,-4.55,1.96,"Apr, 04 2019"
Betare Oya,0,CM,77,5.6,14.08,21.2,1.31,"Apr, 04 2019"
Arlit,0,NE,29,18.74,7.39,23.4,1.41,"Apr, 04 2019"
Palmer,0,AU,18,-34.85,139.16,29.44,7.7,"Apr, 04 2019"
Vila Velha,75,BR,83,-3.71,-38.6,27.22,2.1,"Apr, 04 2019"
Port Moresby,40,PG,70,-9.47,147.16,31.0,6.7,"Apr, 04 2019"
Seoul,1,KR,49,37.57,126.98,11.0,3.1,"Apr, 04 2019"
Nador,0,MA,51,35.17,-2.93,17.0,5.1,"Apr, 04 2019"
Sistranda,75,NO,93,63.73,8.83,3.0,0.5,"Apr, 04 2019"
Vostok,0,RU,59,46.45,135.83,2.7,1.36,"Apr, 04 2019"
Elk Point,75,CA,44,53.9,-110.9,3.0,6.2,"Apr, 04 2019"
Isla Mujeres,40,MX,78,21.23,-86.73,26.0,4.6,"Apr, 04 2019"
Bundaberg,40,AU,54,-24.87,152.35,28.33,8.2,"Apr, 04 2019"
Dali,56,CN,100,25.6,100.24,6.65,0.76,"Apr, 04 2019"
Port Lincoln,0,AU,81,-34.72,135.86,21.5,4.26,"Apr, 04 2019"
Gusau,0,NG,39,12.17,6.66,22.3,1.91,"Apr, 04 2019"
Shitkino,12,RU,69,56.37,98.35,-5.4,1.76,"Apr, 04 2019"
Svetlaya,0,RU,87,46.54,138.33,1.05,1.31,"Apr, 04 2019"
Puro,76,PH,85,13.13,123.76,25.65,1.76,"Apr, 04 2019"
Pedernales,68,EC,78,0.07,-80.05,24.75,4.26,"Apr, 04 2019"
Ambon,0,FR,93,47.55,-2.56,2.78,1.5,"Apr, 04 2019"
Naze,0,NG,82,5.43,7.07,26.6,4.86,"Apr, 04 2019"
Pisco,0,PE,88,-13.71,-76.2,21.0,7.2,"Apr, 04 2019"
Puerto del Rosario,80,ES,72,28.5,-13.86,17.0,3.1,"Apr, 04 2019"
Mataram,48,ID,87,-5.32,105.06,24.1,1.16,"Apr, 04 2019"
Atbasar,0,KZ,93,51.81,68.36,2.95,2.91,"Apr, 04 2019"
Lannion,80,FR,86,48.73,-3.46,5.0,4.1,"Apr, 04 2019"
Mustasaari,68,FI,59,63.17,21.67,3.33,1.5,"Apr, 04 2019"
Edd,92,ER,91,13.93,41.69,21.55,1.11,"Apr, 04 2019"
Kambove,56,CD,85,-10.88,26.6,18.3,2.01,"Apr, 04 2019"
Valparaiso,90,US,32,41.47,-87.06,13.0,5.1,"Apr, 04 2019"
Praia da Vitoria,75,PT,82,38.73,-27.07,13.0,8.01,"Apr, 04 2019"
San Juan,20,PH,62,14.6,121.03,30.56,3.1,"Apr, 04 2019"
Lobito,44,AO,95,-12.35,13.55,20.85,1.16,"Apr, 04 2019"
Maxixe,8,MZ,100,-23.86,35.35,22.2,2.56,"Apr, 04 2019"
Quang Ngai,48,VN,92,15.12,108.8,22.15,1.21,"Apr, 04 2019"
Terra Santa,68,BR,77,-2.1,-56.49,28.5,3.01,"Apr, 04 2019"
Inuvik,75,CA,71,68.36,-133.71,-15.0,4.1,"Apr, 04 2019"
Kingisepp,0,RU,58,59.38,28.61,0.1,2.41,"Apr, 04 2019"
Ernei,56,RO,55,46.61,24.64,2.22,3.1,"Apr, 04 2019"
Jabinyanah,20,TN,77,35.03,10.91,16.0,3.1,"Apr, 04 2019"
Sharya,0,RU,73,58.37,45.52,-8.15,1.06,"Apr, 04 2019"
Sola,75,NO,66,58.89,5.65,9.0,4.1,"Apr, 04 2019"
Guerrero Negro,8,MX,57,27.97,-114.04,19.7,5.26,"Apr, 04 2019"
Mocuba,88,MZ,91,-16.84,36.99,20.65,2.01,"Apr, 04 2019"
Half Moon Bay,90,US,82,37.46,-122.43,16.67,3.1,"Apr, 04 2019"
Yalutorovsk,80,RU,91,56.65,66.31,-0.55,6.11,"Apr, 04 2019"
Erenhot,44,CN,53,43.65,111.97,7.45,6.36,"Apr, 04 2019"
Krasnik,0,PL,41,50.92,22.23,7.22,5.7,"Apr, 04 2019"
Tessalit,0,ML,30,20.2,1.01,23.25,3.61,"Apr, 04 2019"
Souillac,24,FR,100,45.6,-0.6,3.89,1.5,"Apr, 04 2019"
Chake Chake,56,TZ,100,-5.25,39.77,27.8,5.56,"Apr, 04 2019"
Sept-Iles,90,CA,86,50.2,-66.38,-1.67,5.1,"Apr, 04 2019"
La Paz,5,MX,36,24.15,-110.32,27.0,4.1,"Apr, 04 2019"
Porbandar,0,IN,82,21.64,69.61,22.3,2.06,"Apr, 04 2019"
Toma,20,JP,55,43.82,142.6,2.0,3.1,"Apr, 04 2019"
Pandan,0,PH,99,11.72,122.09,26.85,7.91,"Apr, 04 2019"
Seddon,12,NZ,55,-41.67,174.07,19.44,0.45,"Apr, 04 2019"
Puerto Rondon,20,CO,45,6.28,-71.1,29.95,3.51,"Apr, 04 2019"
Ust-Ordynskiy,0,RU,43,52.8,104.75,1.0,4.0,"Apr, 04 2019"
Verkhnevilyuysk,88,RU,71,63.45,120.31,-1.8,1.66,"Apr, 04 2019"
Eyl,0,SO,100,7.98,49.82,23.85,1.86,"Apr, 04 2019"
Luganville,88,VU,100,-15.51,167.18,27.45,3.26,"Apr, 04 2019"
Elizabethtown,1,US,26,40.15,-76.6,13.33,4.6,"Apr, 04 2019"
Krasnoarmeysk,0,RU,81,56.12,38.15,1.11,2.0,"Apr, 04 2019"
Umuahia,0,NG,82,5.53,7.5,26.6,4.86,"Apr, 04 2019"
Ankara,0,TR,74,39.92,32.85,5.56,1.0,"Apr, 04 2019"
Dibrugarh,75,IN,88,27.48,94.9,19.0,3.1,"Apr, 04 2019"
Kiunga,68,PG,91,-6.12,141.3,26.2,1.16,"Apr, 04 2019"
Buala,44,SB,89,-8.15,159.59,28.65,2.31,"Apr, 04 2019"
Tirano,75,IT,93,46.22,10.17,6.11,3.6,"Apr, 04 2019"
Alice Springs,0,AU,24,-23.7,133.88,26.0,7.2,"Apr, 04 2019"
Raudeberg,0,NO,93,61.99,5.14,3.33,3.6,"Apr, 04 2019"
Arvi,0,IN,67,21.0,78.23,21.3,2.11,"Apr, 04 2019"
Sambava,88,MG,100,-14.27,50.17,27.7,5.41,"Apr, 04 2019"
Bima,68,ID,98,-8.45,118.73,25.1,1.21,"Apr, 04 2019"
Ried,0,DE,86,48.31,10.61,5.56,1.0,"Apr, 04 2019"
Henties Bay,0,,92,-22.12,14.28,15.0,2.24,"Apr, 04 2019"
Lismore,40,AU,64,-28.81,153.28,25.56,4.1,"Apr, 04 2019"
Rehoboth,0,,75,-23.31,17.08,14.05,1.81,"Apr, 04 2019"
Leningradskiy,8,RU,94,69.38,178.42,-12.95,7.91,"Apr, 04 2019"
Mahanoro,64,MG,100,-19.9,48.8,22.15,1.01,"Apr, 04 2019"
Mareeba,75,AU,88,-16.99,145.42,26.0,8.2,"Apr, 04 2019"
Dicabisagan,92,PH,100,17.08,122.42,22.7,1.41,"Apr, 04 2019"
Shiyan,76,CN,69,32.65,110.78,10.85,1.31,"Apr, 04 2019"
Tzimol,0,MX,72,16.18,-92.18,24.3,1.46,"Apr, 04 2019"
Labuhan,8,ID,82,-2.54,115.51,25.35,0.91,"Apr, 04 2019"
Almaznyy,40,RU,93,48.03,40.04,2.0,3.0,"Apr, 04 2019"
Namibe,0,AO,100,-15.19,12.15,26.05,3.96,"Apr, 04 2019"
Jizan,0,SA,69,16.89,42.56,27.0,2.26,"Apr, 04 2019"
Wewak,88,PG,87,-3.55,143.63,27.2,0.46,"Apr, 04 2019"
San Cristobal,75,EC,87,-0.39,-78.55,14.0,1.5,"Apr, 04 2019"
Gat,0,SN,82,14.69,-16.54,22.0,8.7,"Apr, 04 2019"
Husavik,8,CA,45,50.56,-96.99,-1.11,2.16,"Apr, 04 2019"
Beyneu,92,KZ,90,45.32,55.19,7.1,6.16,"Apr, 04 2019"
Kang,0,BW,64,-23.67,22.79,18.2,3.21,"Apr, 04 2019"
Mandurah,75,AU,88,-32.55,115.7,21.11,8.7,"Apr, 04 2019"
Dwarka,20,IN,56,28.58,77.04,23.0,1.26,"Apr, 04 2019"
Umm Kaddadah,0,SD,17,13.6,26.69,19.35,4.36,"Apr, 04 2019"
Toyooka,75,JP,37,35.55,134.82,14.0,3.1,"Apr, 04 2019"
Zima,80,RU,64,53.93,102.05,-2.6,1.41,"Apr, 04 2019"
Carauari,12,BR,87,-4.88,-66.9,27.1,0.81,"Apr, 04 2019"
Tromso,75,NO,80,69.65,18.96,-1.0,10.8,"Apr, 04 2019"
Kyaikto,0,MM,95,17.31,97.01,23.3,1.11,"Apr, 04 2019"
Sibolga,48,ID,100,1.74,98.78,20.85,0.91,"Apr, 04 2019"
Dingle,0,PH,71,11.0,122.67,26.7,4.81,"Apr, 04 2019"
Ilo,0,PE,88,-17.65,-71.34,18.85,1.61,"Apr, 04 2019"
Antsohihy,80,MG,100,-14.88,47.99,22.25,2.61,"Apr, 04 2019"
Along,48,IN,94,28.17,94.8,10.6,0.81,"Apr, 04 2019"
Miyako,20,JP,50,33.63,130.94,15.0,3.1,"Apr, 04 2019"
Petropavlovsk-Kamchatskiy,40,RU,52,53.05,158.65,6.0,5.0,"Apr, 04 2019"
Makakilo City,1,US,45,21.35,-158.09,29.0,3.6,"Apr, 04 2019"
Pokhara,12,NP,75,28.21,83.99,10.15,1.06,"Apr, 04 2019"
Kabarnet,0,KE,76,0.5,35.74,13.0,2.1,"Apr, 04 2019"
Mount Gambier,75,AU,67,-37.83,140.78,16.0,5.1,"Apr, 04 2019"
Arman,36,RU,73,59.7,150.17,0.9,4.71,"Apr, 04 2019"
Santa Luzia,0,BR,83,-19.77,-43.85,22.0,2.6,"Apr, 04 2019"
Kulhudhuffushi,20,MV,100,6.62,73.07,26.8,1.06,"Apr, 04 2019"
Eunice,90,US,68,30.49,-92.42,19.0,4.1,"Apr, 04 2019"
Kachug,0,RU,49,53.96,105.89,-5.95,3.46,"Apr, 04 2019"
Flinders,75,AU,88,-34.58,150.85,20.0,4.1,"Apr, 04 2019"
Tamandare,0,BR,78,-8.28,-70.75,27.9,1.31,"Apr, 04 2019"
Tashara,80,RU,81,55.52,83.51,-2.3,2.91,"Apr, 04 2019"
Channel-Port aux Basques,92,CA,86,47.57,-59.14,1.65,24.26,"Apr, 04 2019"
Thinadhoo,92,MV,100,0.53,72.93,28.05,1.61,"Apr, 04 2019"
Buraydah,0,SA,41,26.33,43.97,15.0,1.0,"Apr, 04 2019"
Ardakan,40,IR,76,32.31,54.02,13.0,2.1,"Apr, 04 2019"
Hamilton,40,BM,68,32.3,-64.78,19.0,3.1,"Apr, 04 2019"
Sisimiut,68,GL,96,66.94,-53.67,-9.7,4.46,"Apr, 04 2019"
Beloha,0,MG,90,-25.17,45.06,21.6,3.21,"Apr, 04 2019"
Caohe,64,CN,92,32.93,105.08,5.3,0.96,"Apr, 04 2019"
Superior,90,US,93,47.19,-114.89,12.0,3.1,"Apr, 04 2019"
Susehri,92,TR,95,40.16,38.09,-1.05,0.91,"Apr, 04 2019"
Kamaishi,75,JP,86,39.28,141.86,3.0,2.1,"Apr, 04 2019"
Coyula,92,MX,54,20.93,-98.48,26.45,1.81,"Apr, 04 2019"
Ippy,64,CF,39,6.26,21.2,28.6,4.56,"Apr, 04 2019"
Manga,20,BF,45,11.67,-1.07,30.1,3.76,"Apr, 04 2019"
Leh,64,IN,79,34.16,77.58,-17.2,0.41,"Apr, 04 2019"
Nouadhibou,0,MR,77,20.93,-17.03,18.0,4.1,"Apr, 04 2019"
Kupang,75,ID,70,-10.16,123.6,30.0,1.0,"Apr, 04 2019"
Nioro,48,GM,49,13.79,-15.05,27.45,3.16,"Apr, 04 2019"
Meulaboh,56,ID,100,4.14,96.13,25.9,0.71,"Apr, 04 2019"
Nyurba,88,RU,72,63.29,118.35,-1.95,1.56,"Apr, 04 2019"
Aswan,0,EG,28,24.09,32.9,23.0,3.1,"Apr, 04 2019"
Bose,90,IT,87,45.46,8.01,11.11,4.6,"Apr, 04 2019"
Bull Savanna,48,JM,63,17.89,-77.59,25.8,3.01,"Apr, 04 2019"
Thap Than,0,TH,86,15.46,99.89,22.7,0.91,"Apr, 04 2019"
Koslan,0,RU,93,63.46,48.9,-2.7,2.41,"Apr, 04 2019"
Muisne,80,EC,75,0.61,-80.02,25.7,3.51,"Apr, 04 2019"
Talnakh,80,RU,89,69.49,88.39,-7.9,2.36,"Apr, 04 2019"
Krasnoborsk,0,RU,90,61.56,45.93,-7.0,1.56,"Apr, 04 2019"
Wegrow,0,PL,40,52.4,22.02,7.78,4.02,"Apr, 04 2019"
Sur,0,OM,81,22.57,59.53,26.6,1.86,"Apr, 04 2019"
Eureka,90,US,81,40.8,-124.16,13.33,2.1,"Apr, 04 2019"
Pervomayskoye,36,RU,84,57.07,86.23,-4.35,2.06,"Apr, 04 2019"
Dharchula,8,IN,74,29.85,80.53,2.3,1.21,"Apr, 04 2019"
Burnie,0,AU,100,-41.05,145.91,14.95,8.86,"Apr, 04 2019"
Tarko-Sale,88,RU,86,64.92,77.78,-6.11,3.31,"Apr, 04 2019"
Alice,90,US,88,27.75,-98.07,23.0,5.7,"Apr, 04 2019"
Hirado,0,JP,47,33.32,129.49,13.0,2.6,"Apr, 04 2019"
Opochka,0,RU,76,56.71,28.66,-3.05,1.41,"Apr, 04 2019"
Warri,8,NG,89,5.52,5.75,26.35,3.76,"Apr, 04 2019"
Lagos,20,NG,83,6.46,3.39,29.0,3.6,"Apr, 04 2019"
Caravelas,0,BR,100,-17.73,-39.27,27.45,3.76,"Apr, 04 2019"
Pacific Grove,90,US,71,36.62,-121.92,16.67,2.6,"Apr, 04 2019"
Baijiantan,12,CN,71,45.63,85.18,9.5,1.81,"Apr, 04 2019"
Lata,12,IN,77,30.78,78.62,8.95,1.11,"Apr, 04 2019"
Richards Bay,12,ZA,90,-28.77,32.06,20.95,5.61,"Apr, 04 2019"
Araouane,0,ML,25,18.9,-3.53,25.95,3.71,"Apr, 04 2019"
Porto Novo,0,BR,77,-23.68,-45.44,21.0,1.0,"Apr, 04 2019"
Zhoucheng,20,CN,87,31.35,119.33,14.0,3.0,"Apr, 04 2019"
Muros,40,ES,100,42.77,-9.06,8.89,5.26,"Apr, 04 2019"
Hargeysa,44,SO,93,9.56,44.06,16.75,2.31,"Apr, 04 2019"
Constitucion,5,MX,18,23.99,-104.67,23.0,5.7,"Apr, 04 2019"
Ginda,40,IN,88,30.69,78.49,17.0,1.5,"Apr, 04 2019"
Boyolangu,24,ID,91,-8.09,111.9,22.95,2.06,"Apr, 04 2019"
Yenagoa,8,NG,91,4.92,6.26,25.65,3.36,"Apr, 04 2019"
Taksimo,20,RU,55,56.36,114.84,-5.2,1.81,"Apr, 04 2019"
Bonfim,0,BR,83,-20.33,-44.24,22.0,1.5,"Apr, 04 2019"
San Pedro,0,AR,83,-33.68,-59.66,19.5,2.91,"Apr, 04 2019"
La Ronge,90,CA,48,55.1,-105.3,-7.0,5.1,"Apr, 04 2019"
Agucadoura,0,PT,81,41.43,-8.78,8.33,1.5,"Apr, 04 2019"
Sompeta,20,IN,86,18.93,84.6,21.45,1.91,"Apr, 04 2019"
Tshikapa,32,CD,93,-6.42,20.79,23.3,0.96,"Apr, 04 2019"
Evensk,36,RU,84,61.92,159.24,0.8,8.41,"Apr, 04 2019"
Chippewa Falls,1,US,38,44.94,-91.39,6.67,1.5,"Apr, 04 2019"
Pustoshka,0,RU,77,56.34,29.37,-2.7,1.76,"Apr, 04 2019"
Norman Wells,40,CA,55,65.28,-126.83,-14.0,6.7,"Apr, 04 2019"
Adrar,40,DZ,31,27.87,-0.29,26.0,8.7,"Apr, 04 2019"
Yeppoon,75,AU,51,-23.13,150.74,28.0,4.6,"Apr, 04 2019"
Liuzhou,92,CN,100,24.32,109.41,15.05,2.21,"Apr, 04 2019"
